Entity,Code,Year,Solar (% equivalent primary energy)
Asia Pacific (EI),,2011,0.058366474
Asia Pacific (EI),,2012,0.081086405
Asia Pacific (EI),,2013,0.14473195
Asia Pacific (EI),,2014,0.27272934
Asia Pacific (EI),,2015,0.40453118
Asia Pacific (EI),,2016,0.5872723
Asia Pacific (EI),,2017,0.87514454
Asia Pacific (EI),,2018,1.1747997
Asia Pacific (EI),,2019,1.4303938
Asia Pacific (EI),,2020,1.712454
Asia Pacific (EI),,2021,2.0480478
Asia Pacific (EI),,2022,2.512739
Australia,AUS,1990,0
Australia,AUS,1991,0.0015717831
Australia,AUS,1992,0.0034331074
Australia,AUS,1993,0.004057215
Australia,AUS,1994,0.004654296
Australia,AUS,1995,0.0054180315
Australia,AUS,1996,0.0063712257
Australia,AUS,1997,0.007445376
Australia,AUS,1998,0.008446306
Australia,AUS,1999,0.009253797
Australia,AUS,2000,0.010590932
Australia,AUS,2001,0.012093881
Australia,AUS,2002,0.0126825925
Australia,AUS,2003,0.013468502
Australia,AUS,2004,0.014967942
Australia,AUS,2005,0.017064555
Australia,AUS,2006,0.018861832
Australia,AUS,2007,0.021355
Australia,AUS,2008,0.02553688
Australia,AUS,2009,0.053695828
Australia,AUS,2010,0.17984296
Australia,AUS,2011,0.36187533
Australia,AUS,2012,0.43053785
Australia,AUS,2013,0.67407215
Australia,AUS,2014,0.85641944
Australia,AUS,2015,1.041763
Australia,AUS,2016,1.239543
Australia,AUS,2017,1.4814389
Australia,AUS,2018,2.0073361
Australia,AUS,2019,2.8704174
Australia,AUS,2020,3.9454625
Australia,AUS,2021,5.1252446
Australia,AUS,2022,6.095857
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.00083975855
Austria,AUT,1994,0.00084493094
Austria,AUT,1995,0.0008056545
Austria,AUT,1996,0.0008046171
Austria,AUT,1997,0.0015759326
Austria,AUT,1998,0.0015510748
Austria,AUT,1999,0.0015162138
Austria,AUT,2000,0.0022663814
Austria,AUT,2001,0.0036236143
Austria,AUT,2002,0.0064702095
Austria,AUT,2003,0.010603667
Austria,AUT,2004,0.012412874
Austria,AUT,2005,0.014145713
Austria,AUT,2006,0.015130258
Austria,AUT,2007,0.0166355
Austria,AUT,2008,0.020151602
Austria,AUT,2009,0.033576332
Austria,AUT,2010,0.058670457
Austria,AUT,2011,0.121241294
Austria,AUT,2012,0.22323346
Austria,AUT,2013,0.41488978
Austria,AUT,2014,0.5388345
Austria,AUT,2015,0.6391324
Austria,AUT,2016,0.7191653
Austria,AUT,2017,0.8094599
Austria,AUT,2018,0.9428753
Austria,AUT,2019,1.0457762
Austria,AUT,2020,1.3376489
Austria,AUT,2021,1.8038571
Austria,AUT,2022,2.1989603
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0014098297
Azerbaijan,AZE,2014,0.0049949316
Azerbaijan,AZE,2015,0.0072019366
Azerbaijan,AZE,2016,0.05542844
Azerbaijan,AZE,2017,0.059169725
Azerbaijan,AZE,2018,0.060548726
Azerbaijan,AZE,2019,0.064889275
Azerbaijan,AZE,2020,0.0674108
Azerbaijan,AZE,2021,0.073813856
Azerbaijan,AZE,2022,0.08176141
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0.00018707686
Bangladesh,BGD,2003,0.0015826923
Bangladesh,BGD,2004,0.0031272452
Bangladesh,BGD,2005,0.005133534
Bangladesh,BGD,2006,0.0074875746
Bangladesh,BGD,2007,0.012108722
Bangladesh,BGD,2008,0.019214937
Bangladesh,BGD,2009,0.028766459
Bangladesh,BGD,2010,0.049148396
Bangladesh,BGD,2011,0.05937398
Bangladesh,BGD,2012,0.08455351
Bangladesh,BGD,2013,0.11513309
Bangladesh,BGD,2014,0.14210446
Bangladesh,BGD,2015,0.13868624
Bangladesh,BGD,2016,0.15257812
Bangladesh,BGD,2017,0.16709106
Bangladesh,BGD,2018,0.16905138
Bangladesh,BGD,2019,0.17891707
Bangladesh,BGD,2020,0.22358945
Bangladesh,BGD,2021,0.32074675
Bangladesh,BGD,2022,0.343943
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0.00036977045
Belarus,BLR,2014,0.001837025
Belarus,BLR,2015,0.009076407
Belarus,BLR,2016,0.0255104
Belarus,BLR,2017,0.085239775
Belarus,BLR,2018,0.10160882
Belarus,BLR,2019,0.15278459
Belarus,BLR,2020,0.15568204
Belarus,BLR,2021,0.14514104
Belarus,BLR,2022,0.2503347
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0.00037687208
Belgium,BEL,2005,0.00037869983
Belgium,BEL,2006,0.00075052714
Belgium,BEL,2007,0.0022221887
Belgium,BEL,2008,0.0152143
Belgium,BEL,2009,0.06476089
Belgium,BEL,2010,0.20325367
Belgium,BEL,2011,0.45192018
Belgium,BEL,2012,0.8599028
Belgium,BEL,2013,1.0265986
Belgium,BEL,2014,1.2013532
Belgium,BEL,2015,1.2519828
Belgium,BEL,2016,1.1679379
Belgium,BEL,2017,1.2294196
Belgium,BEL,2018,1.4459611
Belgium,BEL,2019,1.5180161
Belgium,BEL,2020,2.0219066
Belgium,BEL,2021,1.9909086
Belgium,BEL,2022,2.5934656
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0.00013054647
Brazil,BRA,2013,0.0003760732
Brazil,BRA,2014,0.0012222813
Brazil,BRA,2015,0.004511373
Brazil,BRA,2016,0.0066501983
Brazil,BRA,2017,0.06392437
Brazil,BRA,2018,0.26346654
Brazil,BRA,2019,0.4965053
Brazil,BRA,2020,0.8316202
Brazil,BRA,2021,1.2276496
Brazil,BRA,2022,2.1086307
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.0041431924
Bulgaria,BGR,2010,0.019681113
Bulgaria,BGR,2011,0.12398012
Bulgaria,BGR,2012,1.0446278
Bulgaria,BGR,2013,1.914986
Bulgaria,BGR,2014,1.6092578
Bulgaria,BGR,2015,1.6560299
Bulgaria,BGR,2016,1.7434998
Bulgaria,BGR,2017,1.7113414
Bulgaria,BGR,2018,1.6235659
Bulgaria,BGR,2019,1.7659942
Bulgaria,BGR,2020,1.9743048
Bulgaria,BGR,2021,1.7299026
Bulgaria,BGR,2022,2.2536938
CIS (EI),,1965,0
CIS (EI),,1990,0
CIS (EI),,1991,0
CIS (EI),,1992,0
CIS (EI),,1993,0
CIS (EI),,1994,0
CIS (EI),,1995,0
CIS (EI),,1996,0
CIS (EI),,1997,0
CIS (EI),,1998,0
CIS (EI),,1999,0
CIS (EI),,2000,0
CIS (EI),,2001,0
CIS (EI),,2002,0
CIS (EI),,2003,0
CIS (EI),,2004,0
CIS (EI),,2005,0
CIS (EI),,2006,0
CIS (EI),,2007,0
CIS (EI),,2008,0
CIS (EI),,2009,2.1791047e-7
CIS (EI),,2010,0.0000067766514
CIS (EI),,2011,0.000048987287
CIS (EI),,2012,0.00016717378
CIS (EI),,2013,0.00050185056
CIS (EI),,2014,0.004651111
CIS (EI),,2015,0.010972301
CIS (EI),,2016,0.016629092
CIS (EI),,2017,0.020047765
CIS (EI),,2018,0.023216356
CIS (EI),,2019,0.04111922
CIS (EI),,2020,0.08518339
CIS (EI),,2021,0.101866774
CIS (EI),,2022,0.119680434
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0.00019568499
Canada,CAN,1993,0.00019086788
Canada,CAN,1994,0.00018386322
Canada,CAN,1995,0.00033593838
Canada,CAN,1996,0.000501741
Canada,CAN,1997,0.0005884234
Canada,CAN,1998,0.00086834177
Canada,CAN,1999,0.0011044746
Canada,CAN,2000,0.0013312428
Canada,CAN,2001,0.0016102273
Canada,CAN,2002,0.0017968575
Canada,CAN,2003,0.0017809714
Canada,CAN,2004,0.0010907815
Canada,CAN,2005,0.001283279
Canada,CAN,2006,0.0015841571
Canada,CAN,2007,0.0018774508
Canada,CAN,2008,0.0025418748
Canada,CAN,2009,0.008188011
Canada,CAN,2010,0.01890256
Canada,CAN,2011,0.040502623
Canada,CAN,2012,0.0618334
Canada,CAN,2013,0.10215855
Canada,CAN,2014,0.14331825
Canada,CAN,2015,0.19326451
Canada,CAN,2016,0.27129006
Canada,CAN,2017,0.23543772
Canada,CAN,2018,0.24645643
Canada,CAN,2019,0.26542413
Canada,CAN,2020,0.29523197
Canada,CAN,2021,0.35172918
Canada,CAN,2022,0.399092
Central America (EI),,1971,0
Central America (EI),,1972,0
Central America (EI),,1973,0
Central America (EI),,1974,0
Central America (EI),,1975,0
Central America (EI),,1976,0
Central America (EI),,1977,0
Central America (EI),,1978,0
Central America (EI),,1979,0
Central America (EI),,1980,0
Central America (EI),,1981,0
Central America (EI),,1982,0
Central America (EI),,1983,0
Central America (EI),,1984,0
Central America (EI),,1985,0
Central America (EI),,1986,0
Central America (EI),,1987,0
Central America (EI),,1988,0
Central America (EI),,1989,0
Central America (EI),,1990,0
Central America (EI),,1991,0
Central America (EI),,1992,0
Central America (EI),,1993,0
Central America (EI),,1994,0
Central America (EI),,1995,0
Central America (EI),,1996,0
Central America (EI),,1997,0
Central America (EI),,1998,0
Central America (EI),,1999,0
Central America (EI),,2000,0
Central America (EI),,2001,0
Central America (EI),,2002,0
Central America (EI),,2003,0
Central America (EI),,2004,0
Central America (EI),,2005,0.00063136144
Central America (EI),,2006,0.00070672715
Central America (EI),,2007,0.0006850869
Central America (EI),,2008,0.0006625111
Central America (EI),,2009,0.0007464863
Central America (EI),,2010,0.0009840347
Central America (EI),,2011,0.0011718338
Central America (EI),,2012,0.0018379438
Central America (EI),,2013,0.0026603367
Central America (EI),,2014,0.010930491
Central America (EI),,2015,0.45448655
Central America (EI),,2016,0.85499036
Central America (EI),,2017,1.0174714
Central America (EI),,2018,1.2242777
Central America (EI),,2019,1.4316561
Central America (EI),,2020,1.8213404
Central America (EI),,2021,1.8959036
Central America (EI),,2022,1.7703114
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.00023174073
Chile,CHL,2013,0.0044505205
Chile,CHL,2014,0.3034421
Chile,CHL,2015,0.8842223
Chile,CHL,2016,1.5734268
Chile,CHL,2017,2.302281
Chile,CHL,2018,2.892032
Chile,CHL,2019,3.5037913
Chile,CHL,2020,4.519727
Chile,CHL,2021,5.899
Chile,CHL,2022,7.586459
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.0000744997
China,CHN,1991,0.00007093126
China,CHN,1992,0.00010110859
China,CHN,1993,0.0001250624
China,CHN,1994,0.00014713126
China,CHN,1995,0.00019993818
China,CHN,1996,0.0002439882
China,CHN,1997,0.00029620755
China,CHN,1998,0.00037632405
China,CHN,1999,0.00044149466
China,CHN,2000,0.00055129087
China,CHN,2001,0.00073032023
China,CHN,2002,0.0010316577
China,CHN,2003,0.0011733416
China,CHN,2004,0.0011832293
China,CHN,2005,0.0011438854
China,CHN,2006,0.0011728089
China,CHN,2007,0.0012868581
China,CHN,2008,0.0016416038
China,CHN,2009,0.0028689185
China,CHN,2010,0.0066964035
China,CHN,2011,0.022976657
China,CHN,2012,0.030210419
China,CHN,2013,0.06741686
China,CHN,2014,0.18340814
China,CHN,2015,0.30260572
China,CHN,2016,0.504837
China,CHN,2017,0.85539573
China,CHN,2018,1.2183205
China,CHN,2019,1.468556
China,CHN,2020,1.6517974
China,CHN,2021,1.9502928
China,CHN,2022,2.5185547
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0.0017270469
Colombia,COL,2001,0.0024743122
Colombia,COL,2002,0.0042835833
Colombia,COL,2003,0.005753302
Colombia,COL,2004,0.0067487615
Colombia,COL,2005,0.008163862
Colombia,COL,2006,0
Colombia,COL,2007,0
Colombia,COL,2008,0
Colombia,COL,2009,0
Colombia,COL,2010,0
Colombia,COL,2011,0
Colombia,COL,2012,0
Colombia,COL,2013,0
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,0.0024206643
Colombia,COL,2018,0.005685449
Colombia,COL,2019,0.0618095
Colombia,COL,2020,0.09775845
Colombia,COL,2021,0.147173
Colombia,COL,2022,0.21503794
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0
Croatia,HRV,2005,0
Croatia,HRV,2006,0
Croatia,HRV,2007,0
Croatia,HRV,2008,0
Croatia,HRV,2009,0.00023865109
Croatia,HRV,2010,0.00030764495
Croatia,HRV,2011,0.0004001514
Croatia,HRV,2012,0.007525125
Croatia,HRV,2013,0.03200778
Croatia,HRV,2014,0.09925109
Croatia,HRV,2015,0.16942483
Croatia,HRV,2016,0.18521567
Croatia,HRV,2017,0.22097076
Croatia,HRV,2018,0.20187867
Croatia,HRV,2019,0.2286211
Croatia,HRV,2020,0.27447444
Croatia,HRV,2021,0.39631277
Croatia,HRV,2022,0.4450164
Czechia,CZE,1990,0
Czechia,CZE,1991,0
Czechia,CZE,1992,0
Czechia,CZE,1993,0
Czechia,CZE,1994,0
Czechia,CZE,1995,0
Czechia,CZE,1996,0
Czechia,CZE,1997,0
Czechia,CZE,1998,0
Czechia,CZE,1999,0
Czechia,CZE,2000,0
Czechia,CZE,2001,0
Czechia,CZE,2002,0
Czechia,CZE,2003,0
Czechia,CZE,2004,0.000054594635
Czechia,CZE,2005,0.000037471178
Czechia,CZE,2006,0.0000913617
Czechia,CZE,2007,0.0009470286
Czechia,CZE,2008,0.0070779365
Czechia,CZE,2009,0.050326087
Czechia,CZE,2010,0.33270374
Czechia,CZE,2011,1.1991484
Czechia,CZE,2012,1.1796027
Czechia,CZE,2013,1.1300682
Czechia,CZE,2014,1.200742
Czechia,CZE,2015,1.2970208
Czechia,CZE,2016,1.230239
Czechia,CZE,2017,1.1916336
Czechia,CZE,2018,1.2666453
Czechia,CZE,2019,1.2614659
Czechia,CZE,2020,1.3274803
Czechia,CZE,2021,1.2077504
Czechia,CZE,2022,1.2890486
Denmark,DNK,1990,0
Denmark,DNK,1991,0
Denmark,DNK,1992,0
Denmark,DNK,1993,0
Denmark,DNK,1994,0
Denmark,DNK,1995,0
Denmark,DNK,1996,0.00016433976
Denmark,DNK,1997,0.0003591642
Denmark,DNK,1998,0.00046623367
Denmark,DNK,1999,0.0010582427
Denmark,DNK,2000,0.0015002528
Denmark,DNK,2001,0.0014861249
Denmark,DNK,2002,0.0015787269
Denmark,DNK,2003,0.0017264972
Denmark,DNK,2004,0.0021928363
Denmark,DNK,2005,0.0027188894
