Entity,Code,Year,Nuclear (% equivalent primary energy)
Asia,,1984,2.8997295
Asia,,1985,3.0483284
Asia,,1986,3.1121814
Asia,,1987,3.4857779
Asia,,1988,3.0748186
Asia,,1989,3.063717
Asia,,1990,3.1702547
Asia,,1991,3.2580733
Asia,,1992,3.2022283
Asia,,1993,3.4049168
Asia,,1994,3.4568639
Asia,,1995,3.6499593
Asia,,1996,3.6933112
Asia,,1997,3.8177025
Asia,,1998,3.9663224
Asia,,1999,3.906342
Asia,,2000,3.866191
Asia,,2001,3.7621253
Asia,,2002,3.6519446
Asia,,2003,2.9940588
Asia,,2004,3.114233
Asia,,2005,3.0041425
Asia,,2006,2.8974056
Asia,,2007,2.603354
Asia,,2008,2.431732
Asia,,2009,2.475533
Asia,,2010,2.4323711
Asia,,2011,1.9077691
Asia,,2012,1.307123
Asia,,2013,1.2811223
Asia,,2014,1.3350663
Asia,,2015,1.4677062
Asia,,2016,1.602
Asia,,2017,1.6262618
Asia,,2018,1.7435553
Asia,,2019,1.9671602
Asia,,2020,2.0027022
Asia,,2021,2.0766523
Asia,,2022,2.124508
Asia Pacific (EI),,1965,0.0013548587
Asia Pacific (EI),,1966,0.029158363
Asia Pacific (EI),,1967,0.029994303
Asia Pacific (EI),,1968,0.04619623
Asia Pacific (EI),,1969,0.07038349
Asia Pacific (EI),,1970,0.20176814
Asia Pacific (EI),,1971,0.2824156
Asia Pacific (EI),,1972,0.31309304
Asia Pacific (EI),,1973,0.32926476
Asia Pacific (EI),,1974,0.58936316
Asia Pacific (EI),,1975,0.7190631
Asia Pacific (EI),,1976,0.9163702
Asia Pacific (EI),,1977,0.7908291
Asia Pacific (EI),,1978,1.4525934
Asia Pacific (EI),,1979,1.7118819
Asia Pacific (EI),,1980,2.002804
Asia Pacific (EI),,1981,2.1365519
Asia Pacific (EI),,1982,2.4741433
Asia Pacific (EI),,1983,2.8355248
Asia Pacific (EI),,1984,3.184771
Asia Pacific (EI),,1985,3.643587
Asia Pacific (EI),,1986,3.7694883
Asia Pacific (EI),,1987,4.207731
Asia Pacific (EI),,1988,3.6900592
Asia Pacific (EI),,1989,3.7044737
Asia Pacific (EI),,1990,3.8500588
Asia Pacific (EI),,1991,3.925036
Asia Pacific (EI),,1992,3.8549025
Asia Pacific (EI),,1993,4.056434
Asia Pacific (EI),,1994,4.1092715
Asia Pacific (EI),,1995,4.3057284
Asia Pacific (EI),,1996,4.322863
Asia Pacific (EI),,1997,4.4673004
Asia Pacific (EI),,1998,4.6604095
Asia Pacific (EI),,1999,4.566367
Asia Pacific (EI),,2000,4.5236278
Asia Pacific (EI),,2001,4.408549
Asia Pacific (EI),,2002,4.2821803
Asia Pacific (EI),,2003,3.4958248
Asia Pacific (EI),,2004,3.6290565
Asia Pacific (EI),,2005,3.4907515
Asia Pacific (EI),,2006,3.3647637
Asia Pacific (EI),,2007,3.0201993
Asia Pacific (EI),,2008,2.8329456
Asia Pacific (EI),,2009,2.882865
Asia Pacific (EI),,2010,2.837157
Asia Pacific (EI),,2011,2.2245572
Asia Pacific (EI),,2012,1.5197858
Asia Pacific (EI),,2013,1.475608
Asia Pacific (EI),,2014,1.5435017
Asia Pacific (EI),,2015,1.7039726
Asia Pacific (EI),,2016,1.8600382
Asia Pacific (EI),,2017,1.8854167
Asia Pacific (EI),,2018,2.0172806
Asia Pacific (EI),,2019,2.274641
Asia Pacific (EI),,2020,2.3052602
Asia Pacific (EI),,2021,2.3747501
Asia Pacific (EI),,2022,2.3939586
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0
Australia,AUS,2004,0
Australia,AUS,2005,0
Australia,AUS,2006,0
Australia,AUS,2007,0
Australia,AUS,2008,0
Australia,AUS,2009,0
Australia,AUS,2010,0
Australia,AUS,2011,0
Australia,AUS,2012,0
Australia,AUS,2013,0
Australia,AUS,2014,0
Australia,AUS,2015,0
Australia,AUS,2016,0
Australia,AUS,2017,0
Australia,AUS,2018,0
Australia,AUS,2019,0
Australia,AUS,2020,0
Australia,AUS,2021,0
Australia,AUS,2022,0
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0
Austria,AUT,1996,0
Austria,AUT,1997,0
Austria,AUT,1998,0
Austria,AUT,1999,0
Austria,AUT,2000,0
Austria,AUT,2001,0
Austria,AUT,2002,0
Austria,AUT,2003,0
Austria,AUT,2004,0
Austria,AUT,2005,0
Austria,AUT,2006,0
Austria,AUT,2007,0
Austria,AUT,2008,0
Austria,AUT,2009,0
Austria,AUT,2010,0
Austria,AUT,2011,0
Austria,AUT,2012,0
Austria,AUT,2013,0
Austria,AUT,2014,0
Austria,AUT,2015,0
Austria,AUT,2016,0
Austria,AUT,2017,0
Austria,AUT,2018,0
Austria,AUT,2019,0
Austria,AUT,2020,0
Austria,AUT,2021,0
Austria,AUT,2022,0
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0
Azerbaijan,AZE,2014,0
Azerbaijan,AZE,2015,0
Azerbaijan,AZE,2016,0
Azerbaijan,AZE,2017,0
Azerbaijan,AZE,2018,0
Azerbaijan,AZE,2019,0
Azerbaijan,AZE,2020,0
Azerbaijan,AZE,2021,0
Azerbaijan,AZE,2022,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0
Bangladesh,BGD,2007,0
Bangladesh,BGD,2008,0
Bangladesh,BGD,2009,0
Bangladesh,BGD,2010,0
Bangladesh,BGD,2011,0
Bangladesh,BGD,2012,0
Bangladesh,BGD,2013,0
Bangladesh,BGD,2014,0
Bangladesh,BGD,2015,0
Bangladesh,BGD,2016,0
Bangladesh,BGD,2017,0
Bangladesh,BGD,2018,0
Bangladesh,BGD,2019,0
Bangladesh,BGD,2020,0
Bangladesh,BGD,2021,0
Bangladesh,BGD,2022,0
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0
Belarus,BLR,2014,0
Belarus,BLR,2015,0
Belarus,BLR,2016,0
Belarus,BLR,2017,0
Belarus,BLR,2018,0
Belarus,BLR,2019,0
Belarus,BLR,2020,0.2970262
Belarus,BLR,2021,4.7487116
Belarus,BLR,2022,3.9526582
Belgium,BEL,1965,0
Belgium,BEL,1966,0.004279176
Belgium,BEL,1967,0.06386287
Belgium,BEL,1968,0.037189946
Belgium,BEL,1969,0.012221684
Belgium,BEL,1970,0.029974239
Belgium,BEL,1971,0
Belgium,BEL,1972,0.005546642
Belgium,BEL,1973,0.0378119
Belgium,BEL,1974,0.07624646
Belgium,BEL,1975,3.7160206
Belgium,BEL,1976,5.181654
Belgium,BEL,1977,6.152732
Belgium,BEL,1978,6.1779966
Belgium,BEL,1979,5.473749
Belgium,BEL,1980,6.28998
Belgium,BEL,1981,6.778338
Belgium,BEL,1982,8.632464
Belgium,BEL,1983,13.708486
Belgium,BEL,1984,15.095815
Belgium,BEL,1985,18.035742
Belgium,BEL,1986,19.899645
Belgium,BEL,1987,20.578224
Belgium,BEL,1988,20.722084
Belgium,BEL,1989,19.670311
Belgium,BEL,1990,19.509747
Belgium,BEL,1991,18.917803
Belgium,BEL,1992,19.221395
Belgium,BEL,1993,18.848497
Belgium,BEL,1994,17.362528
Belgium,BEL,1995,17.459427
Belgium,BEL,1996,17.225065
Belgium,BEL,1997,18.650774
Belgium,BEL,1998,17.81293
Belgium,BEL,1999,19.04926
Belgium,BEL,2000,18.382523
Belgium,BEL,2001,17.732296
Belgium,BEL,2002,18.085253
Belgium,BEL,2003,17.310596
Belgium,BEL,2004,17.110222
Belgium,BEL,2005,17.295948
Belgium,BEL,2006,16.796942
Belgium,BEL,2007,17.139906
Belgium,BEL,2008,15.839842
Belgium,BEL,2009,17.678175
Belgium,BEL,2010,16.69833
Belgium,BEL,2011,17.893238
Belgium,BEL,2012,15.47942
Belgium,BEL,2013,15.8885975
Belgium,BEL,2014,13.461277
Belgium,BEL,2015,10.260129
Belgium,BEL,2016,15.758331
Belgium,BEL,2017,15.059978
Belgium,BEL,2018,10.165352
Belgium,BEL,2019,14.908889
Belgium,BEL,2020,13.068869
Belgium,BEL,2021,17.11372
Belgium,BEL,2022,16.073992
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0.36430746
Brazil,BRA,1985,0.6994216
Brazil,BRA,1986,0.028240804
Brazil,BRA,1987,0.1856756
Brazil,BRA,1988,0.11254808
Brazil,BRA,1989,0.32942358
Brazil,BRA,1990,0.40533552
Brazil,BRA,1991,0.25310597
Brazil,BRA,1992,0.30446967
Brazil,BRA,1993,0.073121466
Brazil,BRA,1994,0.008675695
Brazil,BRA,1995,0.37367874
Brazil,BRA,1996,0.34002286
Brazil,BRA,1997,0.41760468
Brazil,BRA,1998,0.41560835
Brazil,BRA,1999,0.5005193
Brazil,BRA,2000,0.7279309
Brazil,BRA,2001,1.7518144
Brazil,BRA,2002,1.6489844
Brazil,BRA,2003,1.5524215
Brazil,BRA,2004,1.2786248
Brazil,BRA,2005,1.0510335
Brazil,BRA,2006,1.4185541
Brazil,BRA,2007,1.1891749
Brazil,BRA,2008,1.2815099
Brazil,BRA,2009,1.1897238
Brazil,BRA,2010,1.2144747
Brazil,BRA,2011,1.2577685
Brazil,BRA,2012,1.2439696
Brazil,BRA,2013,1.1631052
Brazil,BRA,2014,1.1215984
Brazil,BRA,2015,1.0826259
Brazil,BRA,2016,1.1873993
Brazil,BRA,2017,1.1606776
Brazil,BRA,2018,1.1448126
Brazil,BRA,2019,1.154767
Brazil,BRA,2020,1.0433468
Brazil,BRA,2021,1.0340505
Brazil,BRA,2022,0.9778513
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,1.0970328
Bulgaria,BGR,1975,2.731498
Bulgaria,BGR,1976,5.0377827
Bulgaria,BGR,1977,5.638109
Bulgaria,BGR,1978,5.469179
Bulgaria,BGR,1979,5.5100193
Bulgaria,BGR,1980,5.206458
Bulgaria,BGR,1981,7.8164997
Bulgaria,BGR,1982,8.991337
Bulgaria,BGR,1983,10.2371645
Bulgaria,BGR,1984,10.645422
Bulgaria,BGR,1985,11.060186
Bulgaria,BGR,1986,9.96664
Bulgaria,BGR,1987,10.189973
Bulgaria,BGR,1988,12.835609
Bulgaria,BGR,1989,11.765628
Bulgaria,BGR,1990,12.798168
Bulgaria,BGR,1991,14.218344
Bulgaria,BGR,1992,13.240602
Bulgaria,BGR,1993,15.015017
Bulgaria,BGR,1994,17.127945
Bulgaria,BGR,1995,17.935957
Bulgaria,BGR,1996,18.863354
Bulgaria,BGR,1997,19.582895
Bulgaria,BGR,1998,19.386263
Bulgaria,BGR,1999,20.648235
Bulgaria,BGR,2000,23.714949
Bulgaria,BGR,2001,24.518131
Bulgaria,BGR,2002,25.973707
Bulgaria,BGR,2003,21.330265
Bulgaria,BGR,2004,21.329077
Bulgaria,BGR,2005,21.699072
Bulgaria,BGR,2006,22.10574
Bulgaria,BGR,2007,17.069553
Bulgaria,BGR,2008,18.457743
Bulgaria,BGR,2009,20.218214
Bulgaria,BGR,2010,19.199457
Bulgaria,BGR,2011,19.216732
Bulgaria,BGR,2012,19.438833
Bulgaria,BGR,2013,18.707655
Bulgaria,BGR,2014,19.498186
Bulgaria,BGR,2015,17.692781
Bulgaria,BGR,2016,19.016075
Bulgaria,BGR,2017,18.196228
Bulgaria,BGR,2018,18.70933
Bulgaria,BGR,2019,19.795065
Bulgaria,BGR,2020,21.445946
Bulgaria,BGR,2021,18.661123
Bulgaria,BGR,2022,17.755186
CIS (EI),,1965,0.07632619
CIS (EI),,1966,0.0796093
CIS (EI),,1967,0.08272498
CIS (EI),,1968,0.110856466
CIS (EI),,1969,0.12308883
CIS (EI),,1970,0.1413445
CIS (EI),,1971,0.16539508
CIS (EI),,1972,0.28715008
CIS (EI),,1973,0.3976964
CIS (EI),,1974,0.5651688
CIS (EI),,1975,0.7181552
CIS (EI),,1976,0.92156583
CIS (EI),,1977,1.1797012
CIS (EI),,1978,1.1624627
CIS (EI),,1979,1.2857972
CIS (EI),,1980,1.559354
CIS (EI),,1981,1.79874
CIS (EI),,1982,2.0203645
CIS (EI),,1983,2.1985366
CIS (EI),,1984,2.7346985
CIS (EI),,1985,2.476287
CIS (EI),,1986,2.4999118
CIS (EI),,1987,2.9004178
CIS (EI),,1988,3.0748746
CIS (EI),,1989,3.0287015
CIS (EI),,1990,2.633861
CIS (EI),,1991,2.7298179
CIS (EI),,1992,2.8489513
CIS (EI),,1993,3.0661101
CIS (EI),,1994,2.7589743
CIS (EI),,1995,2.9844065
CIS (EI),,1996,3.441077
CIS (EI),,1997,3.6131625
CIS (EI),,1998,3.4561853
CIS (EI),,1999,4.0131006
CIS (EI),,2000,4.254315
CIS (EI),,2001,4.336576
CIS (EI),,2002,4.4750547
CIS (EI),,2003,4.6020885
CIS (EI),,2004,4.337987
CIS (EI),,2005,4.453402
CIS (EI),,2006,4.4582624
CIS (EI),,2007,4.47127
CIS (EI),,2008,4.5237093
CIS (EI),,2009,4.7088175
CIS (EI),,2010,4.682446
CIS (EI),,2011,4.5258036
CIS (EI),,2012,4.5521765
CIS (EI),,2013,4.4689126
CIS (EI),,2014,4.6102605
CIS (EI),,2015,5.0784693
CIS (EI),,2016,4.9585233
CIS (EI),,2017,5.0345635
CIS (EI),,2018,4.8329883
CIS (EI),,2019,4.946183
CIS (EI),,2020,5.267344
CIS (EI),,2021,5.1115556
CIS (EI),,2022,5.4293036
Canada,CAN,1965,0.026147766
Canada,CAN,1966,0.033003476
Canada,CAN,1967,0.028076189
Canada,CAN,1968,0.15829207
Canada,CAN,1969,0.086002655
Canada,CAN,1970,0.15747409
Canada,CAN,1971,0.62827003
Canada,CAN,1972,0.986434
Canada,CAN,1973,1.9215368
Canada,CAN,1974,1.7947893
Canada,CAN,1975,1.5582585
Canada,CAN,1976,2.0616767
Canada,CAN,1977,2.9479222
Canada,CAN,1978,3.4260345
Canada,CAN,1979,3.7621908
Canada,CAN,1980,3.979667
Canada,CAN,1981,4.217374
Canada,CAN,1982,4.1605086
Canada,CAN,1983,5.3044395
Canada,CAN,1984,5.355674
Canada,CAN,1985,6.0102453
Canada,CAN,1986,7.0095835
Canada,CAN,1987,7.3625827
Canada,CAN,1988,7.592769
Canada,CAN,1989,7.196498
Canada,CAN,1990,6.8339953
Canada,CAN,1991,7.922101
Canada,CAN,1992,7.320568
Canada,CAN,1993,8.323736
Canada,CAN,1994,9.204446
Canada,CAN,1995,8.152399
Canada,CAN,1996,7.5243263
Canada,CAN,1997,6.660884
Canada,CAN,1998,5.8539014
Canada,CAN,1999,5.8317976
Canada,CAN,2000,5.6239886
Canada,CAN,2001,6.0106916
Canada,CAN,2002,5.68766
Canada,CAN,2003,5.57723
Canada,CAN,2004,6.5869427
Canada,CAN,2005,6.620732
Canada,CAN,2006,7.0420957
Canada,CAN,2007,6.4325333
Canada,CAN,2008,6.6451945
Canada,CAN,2009,6.44902
Canada,CAN,2010,6.3900046
Canada,CAN,2011,6.3180885
Canada,CAN,2012,6.3459
Canada,CAN,2013,6.71771
Canada,CAN,2014,6.9104013
Canada,CAN,2015,6.476703
Canada,CAN,2016,6.502761
Canada,CAN,2017,6.359414
Canada,CAN,2018,6.2305546
Canada,CAN,2019,6.273792
Canada,CAN,2020,6.45398
Canada,CAN,2021,6.009055
